"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: null"
"HIMSPatientRegistrationDataDictionary","HIMSPatientRegistrationDataDictionary","","","",0,*,"","","","null {[]} {[]}
","HIMS Patient Registration","Data elements for the HIMS Patient Registration Data Dictionary.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","Patient"
"HIMSPatientRegistrationDataDictionary.personalHealthNumber","HIMSPatientRegistrationDataDictionary.personalHealthNumber","","","",1,1,"","","Y","string {[]} {[]}
","Personal health number","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP1
",,,,"HIMSPatientRegistrationDataDictionary.personalHealthNumber",1,1,"","","Patient.identifier.value"
"HIMSPatientRegistrationDataDictionary.nationalIdentityCard","HIMSPatientRegistrationDataDictionary.nationalIdentityCard","","","",0,*,"","","Y","string {[]} {[]}
","National identity card","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP2
",,,,"HIMSPatientRegistrationDataDictionary.nationalIdentityCard",0,*,"","","Patient.identifier.value"
"HIMSPatientRegistrationDataDictionary.passport","HIMSPatientRegistrationDataDictionary.passport","","","",0,*,"","","Y","string {[]} {[]}
","Passport","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP3
",,,,"HIMSPatientRegistrationDataDictionary.passport",0,*,"","","Patient.identifier.value"
"HIMSPatientRegistrationDataDictionary.drivingLicense","HIMSPatientRegistrationDataDictionary.drivingLicense","","","",0,*,"","","Y","string {[]} {[]}
","Driving license","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP4
",,,,"HIMSPatientRegistrationDataDictionary.drivingLicense",0,*,"","","Patient.identifier.value"
"HIMSPatientRegistrationDataDictionary.seniorCitizenNumber","HIMSPatientRegistrationDataDictionary.seniorCitizenNumber","","","",0,*,"","","Y","string {[]} {[]}
","Senior citizen number","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP5
",,,,"HIMSPatientRegistrationDataDictionary.seniorCitizenNumber",0,*,"","","Patient.identifier.value"
"HIMSPatientRegistrationDataDictionary.patientName","HIMSPatientRegistrationDataDictionary.patientName","","","",0,*,"","","","BackboneElement {[]} {[]}
","Name","Name","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP18
",,,,"HIMSPatientRegistrationDataDictionary.patientName",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.name"
"HIMSPatientRegistrationDataDictionary.patientName.id","HIMSPatientRegistrationDataDictionary.patientName.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HIMSPatientRegistrationDataDictionary.patientName.extension","HIMSPatientRegistrationDataDictionary.patientName.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HIMSPatientRegistrationDataDictionary.patientName.modifierExtension","HIMSPatientRegistrationDataDictionary.patientName.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
